Key,repo,Path extension,Priority,Group,Repo Name,size,size_gb,folder,In Glacier,Size in Glacier,STATUS,Notes
0023_lewis_e_m_003_020,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,685",0.031,lewis_e_m_003_020,0023_lewis_e_m_003_020,0.031,Fall 2019 batch,
0023_lewis_e_m_024_031,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,008",0.031,lewis_e_m_024_031,0023_lewis_e_m_024_031,0.031,Fall 2019 batch,
0023_lewis_e_m_019_007,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,054",0.032,lewis_e_m_019_007,0023_lewis_e_m_019_007,0.032,Fall 2019 batch,
0023_lewis_e_m_003_007,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,060",0.032,lewis_e_m_003_007,0023_lewis_e_m_003_007,0.032,Fall 2019 batch,
0023_lewis_e_m_011_001,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,063",0.032,lewis_e_m_011_001,0023_lewis_e_m_011_001,0.032,Fall 2019 batch,
0023_lewis_e_m_027_024,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,078",0.032,lewis_e_m_027_024,0023_lewis_e_m_027_024,0.032,Fall 2019 batch,
0023_lewis_e_m_031_009,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,091",0.032,lewis_e_m_031_009,0023_lewis_e_m_031_009,0.032,Fall 2019 batch,
0023_lewis_e_m_003_022,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,270",0.032,lewis_e_m_003_022,0023_lewis_e_m_003_022,0.032,Fall 2019 batch,
0023_lewis_e_m_003_014,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,462",0.032,lewis_e_m_003_014,0023_lewis_e_m_003_014,0.032,Fall 2019 batch,
0023_lewis_e_m_011_015b,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,520",0.032,lewis_e_m_011_015b,0023_lewis_e_m_011_015b,0.032,Fall 2019 batch,
0023_lewis_e_m_003_021,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,617",0.032,lewis_e_m_003_021,0023_lewis_e_m_003_021,0.032,Fall 2019 batch,
0023_lewis_e_m_003_008,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,782",0.032,lewis_e_m_003_008,0023_lewis_e_m_003_008,0.032,Fall 2019 batch,
0023_lewis_e_m_013_019,0023,,1,A,"Free Library of Philadelphia, Special Collections","33,886",0.032,lewis_e_m_013_019,0023_lewis_e_m_013_019,0.032,Fall 2019 batch,
