repo,Path extension,Priority,Group,Repo Name,size,size_gb,folder,STATUS,Notes
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",9105496,8.684,ljs404,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",9405918,8.97,ljs176,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",9608789,9.164,ljs220,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",9610772,9.166,ljs425,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",9882527,9.425,ljs166,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",9955391,9.494,ljs272,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",10178424,9.707,ljs236,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",10180092,9.708,ljs296,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",10231712,9.758,ljs380,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",10261317,9.786,ljs449,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",10336360,9.858,ljs20,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",10713242,10.217,ljs165,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",10769399,10.27,ljs43,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",10899697,10.395,ljs215,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",10967960,10.46,ljs403,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",11194440,10.676,ljs25,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",11291186,10.768,ljs435,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",11295038,10.772,ljs356,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",11560785,11.025,ljs386,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",11572478,11.036,ljs389,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",11586808,11.05,ljs473,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",11609915,11.072,ljs195,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",11664936,11.125,ljs414,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",11707524,11.165,ljs484,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",11743563,11.2,ljs64,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",11797134,11.251,ljs405,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",11810799,11.264,ljs168,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",11906737,11.355,ljs452,,
0001,,2,2_LJS,"University of Pennsylvania Libraries, Lawrence J. Schoenberg Manuscripts",11920779,11.369,ljs401,,
